245$a	245$b	245$c	100	wikidata	502$b	502$c	502$d	8	300$a	700	856$u	1
Adsorption calorimetry for energy conversion technologies :	"applications in organic photovoltaics, catalysis, and atomic layer deposition /"	James M. Lownsbury.	"Lownsbury, James M.,author."	Q106917100	Ph. D.	University of Washington	2016	161130t20162016waua\\\\obm\\s000\0\eng\d	"1 online resource (xxii, 169 pages) :"	"Campbell, Charles T.,degree supervisor.http://www.wikidata.org/entity/Q87687429"	http://hdl.handle.net/1773/37053	964633548
Study of a novel zwitterionic material and its biological applications /		Jinrong Ma.	"Ma, Jinrong,1993-author."		M.S. Ch. E.	University of Washington	2018	181204t20182018waua\\\\obm\\s000\0\eng\d	1 online resource (38 pages) :	"Jiang, Shaoyi,1964-degree supervisor.http://www.wikidata.org/entity/Q88565920"	http://hdl.handle.net/1773/42230	1077480581
Development of a high-strength zwitterionic hydrogel to combat biofouling in marine and medical applications /		Joel MacArthur.	"MacArthur, Joel,author."		M.S. Ch. E.	University of Washington	2019	190909t20192019waua\\\\obm\\s000\0\eng\d	"1 online resource (ii, 23 unnumbered pages)  :"	"Jiang, Shaoyi,1964-degree supervisor.http://www.wikidata.org/entity/Q88565920"	http://hdl.handle.net/1773/44099	1117715756
"Genomics, transcriptomics, and statistical/machine learning to enhance understanding of methanotrophic microbial metabolism in isolates and communities /"		Janet Matsen.	"Matsen, Janet,author."		Ph. D.	University of Washington	2017	170918t20172017waua\\\\obm\\s000\0\eng\d	"1 online resource (xi, 175 pages) :"	"Lidstrom, Mary E.,degree supervisor.;Beck, David Andrew Crawford,degree supervisor."	http://hdl.handle.net/1773/39975	1004244176
The effects of reverse micelles on charging behavior in apolar media /		Edward LeRoy Michor.	"Michor, Edward LeRoy,author."		Ph. D.	University of Washington	2016	170405t20162016waua\\\\obm\\s000\0\eng\d	"1 online resource (xvi, 148 pages) :"	"Berg, John C.,1937-degree supervisor."	http://hdl.handle.net/1773/38083	981495700
Linear and nonlinear electrochemical impedance spectroscopy for lithium-ion batteries /		Matthew D. Murbach.	"Murbach, Matthew D.,author."		Ph. D.	University of Washington	2018	190130t20182018waua\\\\obm\\s000\0\eng\d	"1 online resource (viii, 137 pages) :"	"Schwartz, Daniel T.,degree supervisor."	http://hdl.handle.net/1773/42990	1083643898
A study of zwitterionic polypeptide-protein conjugates /		Liqian Niu.	"Niu, Liqian,author."		M.S. Ch. E.	University of Washington	2019	190909t20192019waua\\\\obm\\s000\0\eng\d	1 online resource (37 pages) :	"Jiang, Shaoyi,1964-degree supervisor.http://www.wikidata.org/entity/Q88565920"	http://hdl.handle.net/1773/44092	1117715369
"Development of chloromethyl functionalized poly(3,4-ethylenedioxythiophene) derivative (PEDOT-MeCl:PSS) hole transport layer for perovskite solar cells /"		Zhiyin Niu.	"Niu, Zhiyin,author."		M.S. Ch. E.	University of Washington	2019	190909t20192019waua\\\\obm\\s000\0\eng\d	1 online resource (42 pages) :	"Yu, Qiuming,1963-degree supervisor."	http://hdl.handle.net/1773/44088	1117715229
Extractives of Douglas-fir and their implications for biofuel saccharification /		Karl R. Oleson.	"Oleson, Karl R.,author."		Ph. D.	University of Washington	2018	181204t20182018waua\\\\obm\\s000\0\eng\d	"1 online resource (x, 139 pages) :"	"Schwartz, Daniel T.,degree supervisor."	http://hdl.handle.net/1773/42221	1077480235
Accelerating peptoid-surface simulations :	peptoid binding on Au(111) and Au(100) /	Tai-Yu Pan.	"Pan, Tai-Yu,author."		M.S.	University of Washington	2018	181204t20182018waua\\\\obm\\s000\0\eng\d	"1 online resource (v, 25 pages) :"	"Pfaendtner, Jim,degree supervisor."	http://hdl.handle.net/1773/42222	1077480140
Model-based battery management systems :	from theory to practice /	Manan Pathak.	"Pathak, Manan,author."		Ph. D.	University of Washington	2017	180501t20172017waua\\\\obm\\s000\0\eng\d	"1 online resource (xii, 138 pages) :"	"Subramanian, Venkat R.,degree supervisor."	http://hdl.handle.net/1773/40857	1033544369
Analyzing small molecule inhibition of enzymes :	a preliminary machine learning approach towards drug lead generation /	Pearl Philip.	"Philip, Pearl,author."		M.S. Ch. E.	University of Washington	2017	170919t20172017waua\\\\obm\\s000\0\eng\d	"1 online resource (ii, 53 pages) :"	"Beck, David Andrew Crawford,degree supervisor."	http://hdl.handle.net/1773/39980	1004309321
Exploring new avenues of surfactant mediated particle charging in apolar media /		Benjamin Scott Ponto.	"Ponto, Benjamin S.,author."		Ph. D.	University of Washington	2019	200218t20192019waua\\\\obm\\s000\0\eng\d	"1 online resource (x, 126 pages) :"	"Berg, John C.,1937-degree supervisor."	http://hdl.handle.net/1773/45130	1141013619
Understanding self-assembly in solution and at interfaces using all-atom molecular dynamics simulations and enhanced sampling methods /		Arushi Prakash.	"Prakash, Arushi,author."		Ph. D.	University of Washington	2018	190415t20182018waua\\\\obm\\s000\0\eng\d	"1 online resource (xxi, 234 pages) :"	"Pfaendtner, Jim,degree supervisor."	http://hdl.handle.net/1773/43324	1097199808
Model-based graded electrode design for lithium-ion batteries /		Yanbo Qi.	"Qi, Yanbo,author."		Ph. D.	University of Washington	2019	191125t20192019waua\\\\obm\\s000\0\eng\d	"1 online resource (vi, 98 pages) :"	"Subramanian, Venkat R.,degree supervisor.;Schwartz, Daniel T.,degree supervisor."	http://hdl.handle.net/1773/44738	1128832448
Exploring copper as a catalyst for supercritical fluid-based silicon nanowire growth /		Saibihai Rousidan.	"Rousidan, Saibihai,author."		M.S. Ch. E.	University of Washington	2018	190415t20182018waua\\\\obm\\s000\0\eng\d	"1 online resource (iv, 47 unnumbered pages) :"	"Holmberg, Vincent Carl,degree supervisor."	http://hdl.handle.net/1773/43323	1097199746
Source apportionment of combustion generated particulate matter air pollution using excitation emission matrix fluorescence spectroscopy and machine learning /		Jay W. Rutherford.	"Rutherford, Jay W.,author."		Ph. D.	University of Washington	2019	200218t20192019waua\\\\obm\\s000\0\eng\d	"1 online resource (x, 101 pages) :"	"Posner, Jonathan Dov,degree supervisor.;Novoselov, Igor V.,degree supervisor."	http://hdl.handle.net/1773/45131	1141007219
"Simultaneous prediction of density, viscosity and heat capacity of ionic liquids :"	a deep learning approach /	Khushmeen Sakloth.	"Sakloth, Khushmeen,author."		M.S. Ch. E.	University of Washington	2018	181204t20182018waua\\\\obm\\s000\0\eng\d	1 online resource (23 unnumbered pages) :	"Pfaendtner, Jim,degree supervisor."	http://hdl.handle.net/1773/42231	1077480703
The use of boundary lubricants for the reduction of particle jamming in abrasive particle slurries for jet cutting /		Aditya Ashok Salunkhe.	"Salunkhe, Aditya Ashok,author."		M.S. Ch. E.	University of Washington	2017	170622t20172017waua\\\\obm\\s000\0\eng\d	1 online resource (20 pages) :	"Berg, John C.,1937-degree supervisor.;Overney, René M.,1959-degree supervisor."	http://hdl.handle.net/1773/38589	990794049
Expanded tunability of dynamic hydrogel stiffness using engineered photoresponsive proteins /		Rossana Scavone.	"Scavone, Rossana,1991-author."		M.S. Ch. E.	University of Washington	2019	190909t20192019waua\\\\obm\\s000\0\eng\d	"1 online resource (ii, 25 pages) :"	"DeForest, Cole A.,degree supervisor."	http://hdl.handle.net/1773/44087	1117715026
Exploiting chemoenzymatic and photochemical reactions to control 4D protein presentation in cell-laden hydrogels /		Jared Shadish.	"Shadish, Jared,author."		Ph. D.	University of Washington	2019	190909t20192019waua\\\\obm\\s000\0\eng\d	"1 online resource (ix, 202 pages) :"	"DeForest, Cole A.,degree supervisor."	http://hdl.handle.net/1773/44096	1117715651
"Biocompatible zwitterionic polymer chemistries and hydrogels for gene therapy, drug delivery, and regenerative medicine /"		Andrew Sinclair.	"Sinclair, Andrew(Andrew William),author."		Ph. D.	University of Washington	2016	170405t20162016waua\\\\obm\\s000\0\eng\d	"1 online resource (viii, 90 pages) :"	"Jiang, Shaoyi,1964-degree supervisor.http://www.wikidata.org/entity/Q88565920"	http://hdl.handle.net/1773/38080	981492104
Coupling molecular dynamics and machine learning to accelerate the design of bioinspired materials /		Joshua K. Smith.	"Smith, Joshua K.,author."		Ph. D.	University of Washington	2019	190909t20192019waua\\\\obm\\s000\0\eng\d	"1 online resource (vi, 94 pages) :"	"Pfaendtner, Jim,degree supervisor.;Jiang, Shaoyi,1964-degree supervisor.http://www.wikidata.org/entity/Q88565920"	http://hdl.handle.net/1773/44097	1117715633
Solid binding peptides :	applications in affinity protein purification and bioprotonic devices /	Jessica Soto-Rodriguez.	"Soto-Rodriguez, Jessica,author."		Ph. D.	University of Washington	2018	190415t20182018waua\\\\obm\\s000\0\eng\d	1 online resource (122 pages) :	"Baneyx, François,degree supervisor."	http://hdl.handle.net/1773/43321	1097199994
Development and use of molecular simulation tools to study the structure and function of biomolecules at interfaces /		Kayla G. Sprenger.	"Sprenger, Kayla G.,author."		Ph. D.	University of Washington	2017	171208t20172017waua\\\\obm\\s000\0\eng\d	1 online resource (195 pages) :	"Pfaendtner, Jim,degree supervisor."	http://hdl.handle.net/1773/40509	1014345295
Developing multifunctional surface chemistry for plasmonic biosensing in complex media /		Fang Sun.	"Sun, Fang,1988-author."		Ph. D.	University of Washington	2016	170405t20162016waua\\\\obm\\s000\0\eng\d	"1 online resource (xiii, 168 pages) :"	"Jiang, Shaoyi,1964-degree supervisor.http://www.wikidata.org/entity/Q88565920;Yu, Qiuming,1963-degree supervisor."	http://hdl.handle.net/1773/38084	981496239
Engineering solid binding proteins for the biofabrication of environmentally friendly multi-functional quantum dots /		Brian James Fullerton Swift.	"Swift, Brian James Fullerton,author."		Ph. D.	University of Washington	2016	160516t20162016waua\\\\obm\\s000\0\eng\d	"1 online resource (ix, 105 pages) :"	"Baneyx, François,degree supervisor."	http://hdl.handle.net/1773/35548	949855126
Total differential capacity plot analysis using data science methods /		Nicole L. Thompson.	"Thompson, Nicole L.(Nicole Lee),author."		M.S. Ch. E.	University of Washington	2018	190415t20182018waua\\\\obm\\s000\0\eng\d	"1 online resource (v, 33 pages) :"	"Holmberg, Vincent Carl,degree supervisor."	http://hdl.handle.net/1773/43319	1097200206
Accelerating protein unfolding simulations :	effect of ionic liquids on villin headpiece unfolding time /	Hsin-Ju Tung.	"Tung, Hsin-Ju,author."		M.S. Ch. E.	University of Washington	2016	160516t20162016waua\\\\obm\\s000\0\eng\d	"1 online resource (ix, 29 unnumbered pages) :"	"Pfaendtner, Jim,degree supervisor."	http://hdl.handle.net/1773/35547	949855070
Power hardware in the loop (PHIL) simulation of battery packs /		Maitri Uppaluri.	"Uppaluri, Maitri,author."		M.S. Ch. E.	University of Washington	2019	190909t20192019waua\\\\obm\\s000\0\eng\d	"1 online resource (v, 41 pages) :"	"Subramanian, Venkat R.,degree supervisor."	http://hdl.handle.net/1773/44089	1117715372
An assessment of alkali metal-O₂ chemistry :	perspectives and prospectives /	Honorio Valdés Espinosa de los Monteros.	"Valdés Espinosa de los Monteros, Honorio,1989-author."		Ph. D.	University of Washington	2018	190415t20182018waua\\\\obm\\s000\0\eng\d	"1 online resource (xi, 183 pages)  :"	"Stuve, Eric Michael,degree supervisor.;Adler, Stuart Blake,degree supervisor."	http://hdl.handle.net/1773/43322	1097200102
Suppression of asphaltene adsorption in porous media /		Vineet Venkatanarayanan.	"Venkatanarayanan, Vineet,author."		M.S. Ch. E.	University of Washington	2017	170919t20172017waua\\\\obm\\s000\0\eng\d	1 online resource (33 pages) :	"Berg, John C.,1937-degree supervisor."	http://hdl.handle.net/1773/39978	1004309340
Design of gRNA expression systems and characterization of CRISPR transcriptional networks in Saccharomyces cerevisiae /		William E. Voje Jr.	"Voje, William E.,Jr,author."		Ph. D.	University of Washington	2018	180706t20182018waua\\\\obm\\s000\0\eng\d	"1 online resource (viii, 121 pages) :"	"Carothers, James(James Matthew),degree supervisor."	http://hdl.handle.net/1773/41747	1043359878
A generalized framework for machine re-learning of complex process and kinetic models /		Yuening Wang.	"Wang, Yuening,author."		M.S. Ch. E.	University of Washington	2019	190909t20192019waua\\\\obm\\s000\0\eng\d	1 online resource (24 pages) :	"Beck, David Andrew Crawford,degree supervisor."	http://hdl.handle.net/1773/44101	1117715861
Making ceramic membranes used in redox flow batteries with sol-gel process /		Canfeng Wei.	"Wei, Canfeng,author."		M.S. Ch. E.	University of Washington	2018	181204t20182018waua\\\\obm\\s000\0\eng\d	"1 online resource (vi, 37 pages) :"	"Pozzo, Lilo D.,degree supervisor."	http://hdl.handle.net/1773/42228	1077480516
BiI₃ :	a lower toxicity route to tandem solar cells /	Brian W. Williamson.	"Williamson, Brian W.,author."		M.S. Ch. E.	University of Washington	2017	171208t20172017waua\\\\obm\\s000\0\eng\d	1 online resource (49 pages) :	"Hillhouse, Hugh W.,1972-degree supervisor."	http://hdl.handle.net/1773/40510	1014344549
Exploring serine-lysine peptide aggregation in water and interaction with inorganic surfaces using molecular dynamics /		Kejia Wu.	"Wu, Kejia,1992-author."		M.S. Ch. E.	University of Washington	2018	181204t20182018waua\\\\obm\\s000\0\eng\d	1 online resource (34 pages) :	"Pfaendtner, Jim,degree supervisor."	http://hdl.handle.net/1773/42226	1077480482
Multi-Ribozyme-gRNA-Aptazyme (RGA) networks for biosensing and gene regulation /		Chenggang Xi.	"Xi, Chenggang,author."		M.S. Ch. E.	University of Washington	2019	190923t20192019waua\\\\obm\\s000\0\eng\d	1 online resource (29 unnumbered pages) :	"Carothers, James(James Matthew),degree supervisor."	http://hdl.handle.net/1773/44094	1120724183
Structure engineering of self- and directed-assembled conjugated polymers /		Yuyin Xi.	"Xi, Yuyin,1989-author."		Ph. D.	University of Washington	2018	181204t20182018waua\\\\obm\\s000\0\eng\d	"1 online resource (xxiv, 293 pages) :"	"Pozzo, Lilo D.,degree supervisor."	http://hdl.handle.net/1773/42223	1077480355
Machine learning of amino acid composition models for protein redesign /		Sijia Xiao.	"Xiao, Sijia,1995-author."		M.S. Ch. E.	University of Washington	2019	190909t20192019waua\\\\obm\\s000\0\eng\d	"1 online resource (iii, 29 pages) :"	"Baneyx, François,degree supervisor.;Beck, David Andrew Crawford,degree supervisor."	http://hdl.handle.net/1773/44090	1117715296
Environmentally friendly self-polishing anti-fouling coatings for marine applications /		Jiawei Xue.	"Xue, Jiawei,author."		M.S. Ch. E.	University of Washington	2017	170919t20172017waua\\\\obm\\s000\0\eng\d	"1 online resource (ix, 23 pages) :"	"Jiang, Shaoyi,1964-degree supervisor.http://www.wikidata.org/entity/Q88565920"	http://hdl.handle.net/1773/39981	1004309349
Chemically-addressable protein entrapment in silica sol-gels /		Wenlan Yang.	"Yang, Wenlan,1992-author."		M.S.	University of Washington	2016	160811t20162016waua\\\\obm\\s000\0\eng\d	1 online resource (26 pages) :	"Baneyx, François,degree supervisor."	http://hdl.handle.net/1773/36526	956508322
Improving safety and efficacy of protein therapeutics by chemical modifications /		Peng Zhang.	"Zhang, Peng,1987 May 3-author."		Ph. D.	University of Washington	2018	190415t20182018waua\\\\obm\\s000\0\eng\d	"1 online resource (xiv, 156 pages) :"	"Jiang, Shaoyi,1964-degree supervisor.http://www.wikidata.org/entity/Q88565920"	http://hdl.handle.net/1773/43320	1097200234
Mechanical simulation of human pleura for medical training by crosslinked polyurethane /		Shijie Zhang.	"Zhang, Shijie,1994-author."		M.S. Ch. E.	University of Washington	2018	181204t20182018waua\\\\obm\\s000\0\eng\d	"1 online resource (iv, 27 pages) :"	"Ratner, B. D.(Buddy D.),1947-degree supervisor."	http://hdl.handle.net/1773/42220	1077480172
Flexible narrowband ultraviolet photodetectors with photomultiplication based on wide band gap conjugated polymer and inorganic nanoparticles /		Xiaoyu Zhang.	"Zhang, Xiaoyu,1994-author."		M.S. Ch. E.	University of Washington	2018	181204t20182018waua\\\\obm\\s000\0\eng\d	"1 online resource (iv, 36 pages) :"	"Yu, Qiuming,1963-degree supervisor."	http://hdl.handle.net/1773/42225	1077480453
Stimuli-responsive assembly of nanoparticles with solid binding proteins /		Yundi Zhao.	"Zhao, Yundi,1995-author."		M.S. Ch. E.	University of Washington	2019	190909t20192019waua\\\\obm\\s000\0\eng\d	"1 online resource (ii, 31 pages) :"	"Baneyx, François,degree supervisor."	http://hdl.handle.net/1773/44086	1117715200
Solution-processed visible-blind UV-A photodetectors based on CH₃NH₃PbCl₃ Perovskite thin films /		Erjin Zheng.	"Zheng, Erjin,author."		M.S. Ch. E.	University of Washington	2017	171208t20172017waua\\\\obm\\s000\0\eng\d	"1 online resource (v, 35 pages) :"	"Yu, Qiuming,1963-degree supervisor."	http://hdl.handle.net/1773/40511	1014345282
