245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"The history of banking in Idaho ..."			"Aldrich, Clara Elizabeth."	"M.B.A."	"University of Washington"		"890705s1940\\\\xx\\\\\\\bm\\\000\0\eng\d"	"vii, 175 leaves"			"19961422"
"Federal taxation of cooperatives ..."			"Appelo, Carlton Edward."	"M.B.A."	"University of Washington"		"890713s1948\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 83 leaves"			"20001524"
"Some economic implications of modern personnel management and the situational approach,"		"by Thomas van Valkenburgh Atwater, Jr. ..."	"Atwater, Thomas van Valkenburgh."	"M.A."	"University of Washington"		"890713s1948\\\\xx\\\\\\\bm\\\000\0\eng\d"	"i, 95 leaves"			"20001568"
"A comparative study of the procedures for hiring and inducting employees in eight Seattle department stores and large specialty stores ..."			"Beiersdorf, Edward August."	"M.B.A."	"University of Washington"		"890605s1949\\\\xx\ah\\\\bm\\\000\0\eng\d"	"vi, 175 leaves"			"19815887"
"A survey of occupations of Oregon high school graduates,"	"to determine some recommendations for the state course of study for commercial work ..."		"Blankenship, Alden Henry."	"M.A."	"University of Washington"		"890606s1938\\\\xx\a\\\\\bm\\\000\0\eng\d"	"69 leaves"			"19821593"
"The history and development of railway and commercial air transportation in Latin America ..."			"Brewer, Stanley Harold."	"M.B.A."	"University of Washington"		"890727s1943\\\\xx\b\\\\\bm\\\000\0\eng\d"	"233 leaves"			"20076916"
"Functions and accounts of investment banks and securities brokerage houses in the Seattle area ..."			"Briggs, James Robert."	"M.A."	"University of Washington"		"890727s1949\\\\xx\k\\\\\bm\\\000\0\eng\d"	"iii, 105 leaves"			"20077719"
"Revelation of job analyses of positions open to secondary comercial school graduates and proposed curricula improvements ..."			"Capen, Ellery."	"M.B.A."	"University of Washington"		"890619s1932\\\\xx\ad\\\\bm\\\000\0\eng\d"	"106 leaves"			"19891161"
"An industrial resume of the minor fish industries of the Pacific Northwest ..."			"Castillo, Mariano Manaoes."	"M.B.A."	"University of Washington"		"890630s1936\\\\xx\ab\\\\bm\\\000\0\eng\d"	"viii, 201 leaves"			"19951516"
"The valorization of coffee in Brazil ..."			"Caudill, Sylvan Christia."	"M.A."	"University of Washington"		"890613s1933\\\\xx\abd\\\bm\\\000\0\eng\d"	"iii, 142 pages"			"19861839"
"Economic planning for the Pacific northwest lumber industry."			"Chan, George Lai-Kwong."				"810429s1933\\\\xx\ad\\\\bm\\\000\0\eng\d"	"119 leaves"			"7375581"
"Trade area branch banking in the United States ..."			"Cheung, Kon Chow."	"M.B.A."	"University of Washington"		"890613s1932\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 118 leaves"			"19861694"
"China's railway rolling stock ..."			"Chu-ko, Lin,1919-"	"M.B.A."	"University of Washington"		"890612s1946\\\\xx\a\\\\\bm\\\000\0\eng\d"	"1 preliminary leaf, x pages, 1 leaf, 110 pages"			"19851538"
"The investments of commercial banks ..."			"Cole, David Maurice."	"M.B.A."	"University of Washington"		"890705s1939\\\\xx\a\\\\\bm\\\000\0\eng\d"	"192 leaves"			"19961377"
"Fixed investment trusts ..."			"Cubley, E. Strauss."	"M.B.A."	"University of Washington"		"890711s1932\\\\xx\ad\\\\m\\\\000\0\eng\d"	"122 leaves"			"19991077"
"The 1931 silver situation ..."			"Dabney, Elmer Stratton."	"M.B.A."	"University of Washington"		"890711s1932\\\\xx\ad\\\\bm\\\000\0\eng\d"	"vi, 136 leaves"			"19991114"
"Valuation of inventories ..."			"Davenport, James William."	"M.B.A."	"University of Washington"		"890727s1948\\\\xx\\\\\\\bm\\\000\0\eng\d"	"112 leaves"			"20076930"
"Pacific Northwest white wheat problems ..."			"Davies, Gaylord Sterling."	"M.B.A."	"University of Washington"		"890726s1938\\\\xx\ab\\\\bm\\\000\0\eng\d"	"iv, 90 leaves"			"20073393"
"Property tax delinquency in the state of Washington, with special reference to tax collection procedure ..."			"Eldridge, Douglas Hilton."	"M.B.A."	"University of Washington"		"890609s1941\\\\xx\ab\\\\m\\\\000\0\eng\d"	"ix, 392 leaves"			"19839456"
"Financing state public service commission regulation ..."			"Ensley, Grover William."	"M.B.A."	"University of Washington"		"890615s1938\\\\xx\a\\\\\bm\\\000\0\eng\d"	"131 leaves"			"19872525"
"The economy and trade of Brazil ..."			"Evans, Richard Borel."	"M.B.A."	"University of Washington"		"890706s1943\\\\xx\ad\\\\bm\\\000\0\eng\d"	"v, 188 leaves"			"19965723"
"Silver - its status and outlook in 1935 ..."			"Firstenburg, Edward William."	"M. Bus. Adm."	"University of Washington"		"890530s1935\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 169 leaves"			"19783968"
"Incomes, occupations, and expenditures of families of the Grays Harbor, Washington, community ..."			"Flora, Kenneth Wilson."	"M.B.A."	"University of Washington"		"890613s1937\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 103 leaves"			"19860754"
"A study of non-financial incentives as to their relationship to a human relations program ..."			"Floyd, Edward Vaughn."	"M.B.A."	"University of Washington"		"890621s1949\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 96 leaves"			"19904536"
"Partnership accounting ..."			"Fordon, John Vivian."	"M.B.A."	"University of Washington"		"890727s1934\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 129 leaves"			"20078042"
"Some current problems in consumer instalment credit as a function of commercial banks ..."			"Fox, Harold Leon."	"M.B.A."	"University of Washington"		"890621s1949\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 146 leaves"			"19904617"
"Some marketing implications of emergency legislation and directives, 1941-1943 ..."			"Furer, Samuel Henry."	"M.B.A."	"University of Washington"		"890621s1944\\\\xx\ad\\\\bm\\\000\0\eng\d"	"vii, 124 pages"			"19904475"
"The theoretical justification for the revaluation of fixed assets of industrial companies ..."			"Gaylord, Richard Ellis."	"M.B.A."	"University of Washington"		"890619s1949\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 82 leaves"			"19889721"
"A postwar cost-plus-a-fixed-fee government construction contract in the territory of Alaska ..."			"Gedney, William Robert."	"M.B.A."	"University of Washington"		"890706s1949\\\\xx\abf\\\bm\\\000\0\eng\d"	"vi, 148 leaves including plates, map, tables (some folded), diagrams"			"19965803"
"Rate regulation of motor transportation ..."			"Gifford, Gilbert Lee."	"M.B.A."	"University of Washington"		"890615s1938\\\\xx\\\\\\\bm\\\000\0\eng\d"	"v, 150 leaves"			"19873252"
"A study of wage incentive plans accompanied by a survey of Washington manufactures ..."			"Grimsby, Alvin Ernest."				"931008s1949\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 276 leaves"			"28961389"
"Argentina's world trade:"	"special emphasis on inter-American trade ..."		"Groke, Paul Otto."	"M.B.A."	"University of Washington"		"890612s1943\\\\xx\a\\\\\bm\\\000\0\eng\d"	"144 leaves"			"19851441"
"Marketing Washington oysters ..."			"Hall, Leroy Charles."	"M.B.A."	"University of Washington"		"890705s1933\\\\xx\ab\\\\bm\\\000\0\eng\d"	"v, 89 leaves"			"19961525"
"Trade of Russia (U.S.S.R.) with special reference to Siberia ..."			"Hanot, Elaine Georgia."	"M.B.A."	"University of Washington"		"890705s1933\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 94 leaves"			"19961262"
"Non-voting common stock ..."			"Howell, Paul Lloyd."	"M.A."	"University of Washington"		"890623s1934\\\\xx\a\\\\\bm\\\000\0\eng\d"	"141 leaves"			"19915716"
"Veterans' reemployment rights ..."			"Hulet, William Albert."	"M.B.A."	"University of Washington"		"890531s1949\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 182 leaves"			"19789722"
"The activities of the Seattle Professional Engineering Employees Association ..."			"Humphrey, James Leslie."	"M.B.A."	"University of Washington"		"890531s1948\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 233 leaves"			"19789679"
"Japan's foreign trade with British India ..."			"Ikuta, Katsutaro."				"930813s1936\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 160 leaves"			"28630066"
"Position of the United States in the world silk market ..."			"Irwin, John Ivan."	"M.B.A."	"University of Washington"		"890629s1932\\\\xx\ad\\\\bm\\\000\0\eng\d"	"iv, 85 leaves"			"19946117"
